alpha,cl
-1.2799081181291745,-0.4638783269961974
-1.2428859824808107,-0.5125475285171102
-1.205863846832446,-0.5733840304182507
-1.1741305877052761,-0.6159695817490491
-1.1476862050993015,-0.6524714828897333
-1.1159529459721322,-0.695057034220532
-1.084219686844962,-0.7315589353612166
-1.0630641807601824,-0.7558935361216728
-1.031330921633013,-0.792395437262357
-0.9995976625058431,-0.8228136882129276
-0.9784421564210636,-0.8410646387832701
-0.9467088972938935,-0.8714828897338398
-0.920264514687919,-0.8958174904942964
-0.8885312555607495,-0.9201520912547524
-0.8515091199123849,-0.932319391634981
-0.8091981077428257,-0.9505703422053232
-0.7721759720944611,-0.9505703422053232
-0.7404427129672914,-0.9505703422053232
-0.6981317007977318,-0.9444866920152092
-0.6611095651493671,-0.932319391634981
-0.6240874295010026,-0.9140684410646384
-0.587065293852638,-0.8897338403041823
-0.5553320347254684,-0.8593155893536117
-0.528887652119494,-0.8288973384030416
-0.4918655164711288,-0.7863117870722434
-0.4548433808227647,-0.7437262357414447
-0.41782124517440006,-0.7072243346007601
-0.38608798604723055,-0.688973384030418
-0.3490658503988659,-0.6707224334600759
-0.3120437147505013,-0.6768060836501899
-0.28031045562333173,-0.695057034220532
-0.2485771964961622,-0.7193916349809881
-0.22742169041138235,-0.7558935361216728
-0.21155506084779757,-0.7984790874524714
-0.2009773078054079,-0.8349809885931556
-0.18511067824182267,-0.8775665399239543
-0.17453292519943295,-0.8897338403041823
-0.15866629563584816,-0.8714828897338398
-0.1480885425934585,-0.8471482889733837
-0.13751078955106832,-0.8106463878326995
-0.12164415998748355,-0.7619771863117868
-0.10577753042389929,-0.7133079847908745
-0.09519977738150912,-0.6768060836501899
-0.08991090086031402,-0.6281368821292772
-0.07933314781792385,-0.5855513307984788
-0.07404427129672925,-0.5307984790874523
-0.06346651825433908,-0.4760456273764255
-0.058177641733144485,-0.421292775665399
-0.04759988869075431,-0.3665399239543723
-0.042311012169559216,-0.3117870722433458
-0.03173325912716954,-0.257034220532319
-0.026444382605974946,-0.2083650190114068
-0.015866629563584766,-0.147528517110266
-0.005288876521195088,-0.0927756653992393
0.0,-0.0380228136882128
0.0,-0.0076045627376422
0.005288876521194964,0.0532319391634981
0.015866629563584828,0.1444866920152092
0.021155506084779733,0.1992395437262359
0.031733259127169657,0.2783269961977186
0.047599888690754426,0.3695817490494297
0.06346651825433926,0.4486692015209126
0.0793331478179241,0.5216730038022815
0.09519977738150887,0.5885931558935362
0.11106640694509369,0.6615969581749049
0.12693303650867852,0.7163498098859316
0.1427996660722633,0.7771863117870723
0.15866629563584816,0.838022813688213
0.17453292519943295,0.8684410646387833
0.20097730780540765,0.8745247148288974
0.21155506084779746,0.8319391634980989
0.2221328138901874,0.7832699619771863
0.2327105669325773,0.7406844106463879
0.24328831997496725,0.6920152091254754
0.2538660730173571,0.6555133079847909
0.259154949538552,0.6190114068441066
0.2855993321445267,0.5946768060836503
0.3120437147505013,0.6129277566539925
0.33319922083528114,0.6433460076045628
0.36493247996245065,0.6798479087452473
0.38608798604723055,0.7163498098859316
0.4125323686532051,0.746768060836502
0.433687874737985,0.7832699619771863
0.4601322573439595,0.8258555133079849
0.4865766399499342,0.8684410646387833
0.518309899077104,0.8988593155893536
0.5394654051618837,0.935361216730038
0.5711986642890533,0.9718631178707224
0.6082207999374178,1.0083650190114068
0.6399540590645875,1.0326996197718632
0.6769761947129521,1.057034220532319
0.7139983303613167,1.0752851711026616
0.7563093425308762,1.0874524714828897
0.7986203547004357,1.0752851711026616
0.8409313668699951,1.0509505703422053
0.8832423790395546,1.0266159695817492
0.9149756381667241,0.9961977186311788
0.9572866503362838,0.9596958174904944
0.9943087859846484,0.92319391634981
1.0207531685906233,0.8927756653992396
1.0524864277177928,0.8623574144486693
1.0842196868449623,0.8258555133079849
1.1106640694509369,0.7893536121673004
1.1371084520569117,0.7589353612167301
1.1635528346628863,0.7224334600760456
1.1899972172688607,0.6859315589353613
1.211152723353641,0.6494296577946769
1.2375971059596154,0.6129277566539925
1.26404148856559,0.5764258555133082
1.2851969946503699,0.5399239543726236
1.3222191302987343,0.4669201520912549
1.353952389425904,0.4182509505703423
1.3856856485530735,0.3695817490494297
1.4227077842014382,0.3087452471482892
1.4544410433286077,0.2600760456273765
1.4808854259345825,0.211406844106464
1.5073298085405575,0.1627376425855513
1.533774191146532,0.1201520912547529
1.5602185737525065,0.0775665399239544
1.5866629563584813,0.0349809885931557
1.6078184624432612,-0.0076045627376422
1.634262845049236,-0.0501901140684408
1.6659961041764053,-0.0988593155893535
1.69244048678238,-0.15361216730038
1.73475149895194,-0.2205323193916348
1.7770625111214988,-0.2935361216730037
1.8140846467698637,-0.3543726235741442
1.8458179058970334,-0.4091254752851709
1.8775511650242036,-0.4638783269961974
1.9145733006725671,-0.5125475285171102
1.9515954363209318,-0.5733840304182507
1.9833286954481018,-0.6159695817490491
2.0097730780540766,-0.6524714828897333
2.0415063371812456,-0.695057034220532
2.073239596308416,-0.7315589353612166
2.0943951023931953,-0.7558935361216728
